text,sentiment,label
alam mong malapit election mama nababanggit mga modules ctto,Negative,Hate
grabe yung narinig this morning yung kapitbahay namin kinuha team help for his campaign huhu election labasan pera bayarang mga trolls supporters,Negative,Hate
eh nanalo cya gagawin nag martial law bigla election ganda kasi display mukha dito,Positive,Non-hate
never voted voted for mds during last election wala akong tiwala kanyang leadership masyadong trapo,Negative,Hate
bakit ngaun dumaldal almost years kung kelan malapit election pareho dds,Negative,Hate
focus pala election naalala bigla,Neutral,Non-hate
hoy kelan matatapos sirkus mga ka-gangster senado paabutin hangang eleksyon para umangat naman ratings kulelat kasi eh ambisyoso,Negative,Hate
mga possible candidate this coming election yta target nya interview para makatulong voters dba hindi nman hater,Neutral,Non-hate
hindi claro madam malabo panong babalik hindi nmn nagiging president magiging president palang kung ayaw hwag pano nmn kaming gusto kaya eleksyon para samin anybody but,Negative,Hate
matagal labas hindi makikinabang ngangawngaw kundi kasi nagpapabango sarili para election syempre maisalba sarili mga kahayopan admin sinuportahan just saying vp naman,Negative,Hate
"then malala kayo hayop(lgbtq buti hayop alam lalake para babae""...""hindi binabawi salitang nasabi presidential candidate who judge person talaga nagagawa election nagbabago pananaw",Negative,Hate
talaga nagagawa eleksyon nahihimasmasan bigla mga dating enablers parang pinahid,Negative,Hate
mga dds full support sir para darating election yong paraan ipakita natin kanya bumalik ating tiwala ilang dekada natin nawala dahil nalinlang gawin natin kong,Positive,Non-hate
bigla lng naalala nyeta ayusin pagboto election maawa kayo magmoveon lahat problema,Negative,Hate
winnable sana leni-isko tandem election sayang,Negative,Hate
same dae dayaon eleksyon para manggana had energy with him left overherad tita saying greatest frustration mommy hanggang ngunyan blinded nanggad kamo hahahaha shuta we're,Negative,Hate
isipin pagpipilian eleksyon shuta multiple choice pero walang tamang sagot,Negative,Hate
from maja angge naman todo encourage register vote kaya habol mga beh patuloy manawagan,Positive,Non-hate
gagapang babangon gaganti inyong mga salot lipunan ilalabas aking mga manika karayom itim kandila eleksyon tatapusin namin sumpa sigurado kayo naman luluha aming mga tunay huling halakhak,Positive,Non-hate
magiging standard bearer partidong demokratiko halalan naman magiging running mate,Neutral,Non-hate
mga nagsasabi robredo-trillanes maging tandem labas twitter hindi makakatulong trillanes para makabuo malawak coalition imbes ma-expand base ma-limit lamang nito base malabong general election,Negative,Hate
tangina kung tatakbo tatakbo akala vp nanalo talaga last election bakit parang takot,Negative,Hate
hala palibhasa magnanakaw kaya magnanakaw takot kapwa nya magnanakaw kawawang kapag nanalo kaalyado nya ngayong darating eleksyon hindi problema mga tao matinding dayaan talaga,Negative,Hate
tingin hindi yung dami boboto vp magiging problema natin kundi yung magiging dayaan eleksyon remember dennis negosyanteng galamay hawak kontrata mga machine comelec,Negative,Hate
takot yung panic mode darating eleksyon,Neutral,Non-hate
nagkaroon meeting partido reporma partido demokratikong pilipino-laban's pdp-laban faction upang pag-usapan posibleng pagsasanib-puwersa dalawang partido para election,Neutral,Non-hate
tatanga niyo naman balik gcq kahit daming cases?kahit grade alam ginawang gcq dadami lalo cases tanga kayo sobrang tanga mnl gcq pero dun maraming cases never bounce back because your dumb strategies election over filipinos yuck,Negative,Hate
surveys lamang surveys talo youtube dami naman trolls utak taena hindi college graduate plataporma weh magnanakaw election nag-recount talo,Negative,Hate
pinaglalaban vp kaya ipaglaban natin halalan samahan martsa papuntang malacanang,Positive,Non-hate
"first wife pulong muslim,pero niya jewish gulo galit niya parang duts dilawan pero pumanig secret nung eleksyon walang prinsipyo gamitan mga grupo",Negative,Hate
nanawagan dating senador antonio trillanes vice president magdesisyon plano nito para halalan,Neutral,Non-hate
hindi pumila comelec para pagpilian kaya pls,Negative,Hate
making body strong kasi might make bayot ass his punching kung sakaling siyang presidente eleksyon,Negative,Hate
bakit kapag nagtetrending vp asahan mong magsasabi hindi naman socmed madedetermine kung sinong mananalo eleksyon like hello palagay niyo namin alam nagpapakita support parang kasalanan sainyo,Negative,Hate
anu nginangawa kung hindi naman pala naniniwala mataas?takot?malapit election iboto gusto para masatisfy kaya.mag yrs buti hindi kayo inaatake sama loob,Negative,Hate
jusko tawa pero mga direk kaya today letter excited merch sana sooner than later demanding lab mga direk matagal akong registered voter walang mintis pagboto tuwing eleksyon,Positive,Non-hate
gawain tuwing election secret magic nya eversince bigla nagiging host eat bulaga everyday present,Negative,Hate
kawawa naman madumb kailangan nyang ibenta sarili nya para mapili opposition kahit opposition eh idea nadin who has better chances election mangarap diokno eh ayaw umanib inyo eh,Negative,Hate
nanalo susunod halalan magiging pangalawang beses niya pagiging mabuting pangulo,Positive,Non-hate
poe first choice bilang running mate halalan,Neutral,Non-hate
not surprised pero hauhauhaua puta ahahahahahahahah hahahahahahahahaahahahah dawho maliban naman niya last election,Negative,Hate
matapos mabigo laban kontra yordenis ugas nitong agosto susubukan division world champion senator kanyang malaking hamon bilang kandidato pagkapangulo bansa eleksyon,Neutral,Non-hate
naku lagot na...kumampi mga npa....alam na...inidoro kasama eleksyon,Negative,Hate
imagine kung tatakbo vp presidency matatalo niya ulit next election imagine collapse,Positive,Non-hate
last presidential kemerut election diba jusko sana naman this time kayo,Positive,Non-hate
expect natin uulan pera election mga mga slogan tanggapin pera iboto konsensiya reason kung daw tatanggapin ibibigay naman daw yun tatanggapin pera mga dds local candidate pero,Neutral,Non-hate
kapag binoto eleksyon apologist hahahaha,Positive,Non-hate
nsa tao talaga problema walang takot covid dito pabirthday syempre inuman/gathering khit bawal mga wala silang umaga dami nakakalat mga kalsada.yung mga oposisyon sinasamantala lapit eleksyon,Negative,Hate
hindi iboboto dahil nanahimik tatlong taon kung talagang tingin niya katiwalian lumaban noon kung talagang paninindigan pag-iingay niya para paparating eleksyon hindi gano'ng lider deserve natin,Negative,Hate
takot election,Neutral,Non-hate
hahaha nyetang tawang tawa hahaha mga kapinas mga slogan susunod eleksyon hahah,Positive,Non-hate
hahahahaahahahha umiiyak raynao kasi mayora sinuhulan para iboto eleksyon chour kenma haver huhuhuhhu iyak mga pipty tnx pag-sponsor huhuhu kita ib-bully p.s hinihintay yung hugasin niyo,Positive,Non-hate
obviously nanonood natgeo discovery channel nagagawa eleksyon nag iiba bigla stand,Negative,Hate
tanga panung pinagmana kaya election jusko nagmamagaling ampots,Negative,Hate
pakiusap naman choices baka above mapili halalan sige haha,Negative,Hate
hello never naging oposisyon bumabaliktad dahil eleksyon but for yrs they have been enablers supporters this administration kailangan niyo talaga isipin kung sino ipambabato niyo,Negative,Hate
skl binabantayan yung color map nung election pampanga then someone pointed tarlac pala tinitignan dumb,Negative,Hate
nakakaloka yung move pero mygas nakakaloka lumaban yung votes niya nung huling election wish very position hahahah nagmamayor barangay captain eh haha,Negative,Hate
naku paulit ulit mga salita umay umay talaga tumakbo para malaman kung paano ilalampaso halalan nakakaboba talaga,Negative,Hate
maiiyak tumakbo lalangoy pacific ocean after election,Negative,Hate
roque pacquiao's decision run for president wala karapatan niyang tumakbo eleksyon alam desisyon comelec kung sino magdadala pangalan pdp-laban live,Neutral,Non-hate
quiboloy's camp says p100-m libel case pacquiao's election propaganda,Neutral,Non-hate
claim mga apologists mayaman daw mga kailangang magnakaw nasaan gitna pandemya they're really for public service hindi ngayong malapit eleksyon nag-iingay especially,Negative,Hate
sigurado akong dito mananalo patalbugan cyber libel dahil hindi naumpisahan eleksyon nag-umpisa para kang paslit nagtatampisaw iyak dahil panunukso mga kalaro pathetic,Negative,Hate
galit galit bakla sana atakihin..wag iboto susunod election,Negative,Hate
dabest kagaganyan mukhang masasideline election lol kagagawan haha namang ibintang naman million,Negative,Hate
mga damuho alam this hahahaha galit daw corrupt election pala yung bayad,Negative,Hate
nakakalungkot isipin papa naniniwala dinaya explained him that election protests were junked already presidential electoral tribunal,Negative,Hate
tulad tatay toni olat last eleksyon,Negative,Hate
takot mga new voters tanga since before pandemic bukas registration they've been promoting since isisi comelec katamaran niyo ginagawa naman sumunod protocols kakapal mukha,Negative,Hate
inutil senador papadama namin inyong mga dilawan galit namin eleksyon inidoro lahat bagsak,Negative,Hate
kakaiba panahon eleksyon pero wala takot magsalita mga issues alam parang nakakasiguro mananalo pagka senador bawal dayaan huy,Negative,Hate
parang joke yung election vp walang mapili nakakaloka,Negative,Hate
lawmakers want budget for daw sino kaya mga lawmakers yun kundi mga makabayan bloc yellowebaks taasan daw budget para magamit for election campaign mga animel,Negative,Hate
ngayong eleksyon,Negative,Hate
young entrepreneurs supporting nanawagan lumaban bilang presidente susunod halalan grupo mahusay track record para patakbuhin bansa gitna pandemia,Neutral,Non-hate
election ticket chahiye,Neutral,Non-hate
itong ungoy nato sinasayan pera taongbayan tinagaltagal imbestigasyon ginagawa wala parin silang nakikitang anomalya ngalan talaga eleksyon,Negative,Hate
ayaw kc bigyan khit momentum mga dilawan komunista kc kangkong yng mga pambato eleksyon,Negative,Hate
paksyon kaya pdp-laban kikilalanin comelec grupong suportado pangulong pinamumunuan nagdeklara tatakbo pagkapangulo,Neutral,Non-hate
grabe yung anxiety galit nung gabi eleksyon nung nakatulog lamang b/obongm anlayo eleksyon nayayamot nung mga nagsasabing gising mga kakapal mukha para baguhin narrative,Negative,Hate
way magsalita mukhang sigurado sigurado mananalo presidente has plan already once maupo malakanyang planado magiging dayaan election with help oligarch npa,Negative,Hate
bilis kilos tambalang moreno-willie inanunsyo kandidatura halalan panoorin,Neutral,Non-hate
utusan ikaw mismo nakapako kasinungalingan gawa2x mga election nextyear.ihanda timba para isahod mga luha,Negative,Hate
just vp nais muling makalaban dating halalan ngunit nakadepende magiging resulta unity talks oposisyon,Neutral,Non-hate
naniniwala bukas mga opisyal gobyerno ipakita publiko kanilang saln wala aniya siyang nakikitang sakaling maging bise presidente niya pangulong kung pareho silang mananalo halalan,Neutral,Non-hate
tandem election zero vote dds palang inidoro deretsu ugok puppet mga corrupt politician dito kana babalik bobo,Negative,Hate
andito aantay election evote,Positive,Non-hate
pwede independent shet papangit choices presidentiables next election,Negative,Hate
kaya pala hindi tumakbo sara kasi tatakbo tapos vp kung tatakbo sara mahahati boto sara tapos next election sara naman tatakbo observation correct kaya para maputol maitim plano mga sugapa,Negative,Hate
ndi presidential election star magic audition nangyari pota we're doomed mahalal,Negative,Hate
courses nag eenjoi kame years kayong umeefort oust pero walang nangayre matatapos lng term hahaha lage kayo talunan eleksyon kaya kami pighati iyak mga talunan,Negative,Hate
regardless kung iinterviewhin toni not tao naman desisyon kung sino iboboto election views nakabase boto tatanga mga feeling entitled woke,Negative,Hate
paningin niyo pala hidden agenda yung interview lol ganito kayo ka-desperate takot mawala mga kulay dilaw gobyerno interview hindi election campaign iyak kaagad eh,Negative,Hate
recent nag register irehistro printed everything then bigla site need daw fill copy kasi qr code not working parang wth paurong talaga hand written mga registration forms dba dba,Negative,Hate
diring diri sarili mgstart election bcos think that they're cool pls was naive bobo potahhhhh ahhajshsjsjss character devt naman sana,Negative,Hate
thanks rold kasi talaga kukumbinsihin kong huwag iboto president election,Negative,Hate
kung pinal hindi matuloy consensus-building talagang uphill battle for kung tuloy yung tatakbo malaking hamon paano i-seize center gravity election with compelling agenda coherent political straregy,Negative,Hate
mabuhay mga troll special mention lagi trolls they play big role election campaign doubtless kaya parang mga trolls mga reporter pati parang certified troll vp,Negative,Hate
tawang tawa dun election officer hahahahaha iboboto hahahahahaahahahaha,Positive,Non-hate
camp mum eleksyon plans even after bared presidential bids,Neutral,Non-hate
hayahay white sand island habang pandemya now bigla labas eleksyon makaka help daw,Negative,Hate
vp umaasang magkakaisa mga anti-admin candidates election,Neutral,Non-hate
kumpirmado tatakbo pagkapangulo halalan susunod taon,Neutral,Non-hate
have feeling still banking smartmatic pakampante marami dilawan dyan comelec,Negative,Hate
pray harder kayo baka kasi hindi magsuccess pandaraya pinatalsik sj andi comelec,Negative,Hate
grace poe version presidential election puta sana matuto mga dinanas under administration,Negative,Hate
dear comelec case hindi tatakbo vp tapos mga katulad naman nina tatakbo pwede maglaan kayo ishe-shade bilog para nota opo nota iboboto none above,Negative,Hate
y'all know how much shortcoming has senator this country tapos napaka lakas loob niya run for president position nanalo election putangina idk anymore might well leave mars sahol kabobohan mga boboto diyan,Negative,Hate
sunod baka extend senado filing kandidatura comelec nalilito kasi hindi handa file deadline oct,Negative,Hate
election tapos sara tiba-tiba lgu officials nyan,Negative,Hate
sarah daw tatakbo national election pero uung kabila dipa maitago takot,Negative,Hate
fb friend akong pinu-push real vp siswang tumigil eleksyon next year try again,Negative,Hate
uhmm parating ecq mecq sarado usually comelec takot mga tao mahawaan pila your point pero kailangan natin tingnan lahat perspektibo kung bakit ganito nangyayari natimingan niyo siguro walang pila pero parating mahaba pila noon,Neutral,Non-hate
kung hindi tatakbo vp susunod eleksyon pwede magtime travel taon kung kailan maayos ulit vico pangulo,Negative,Hate
"tatakbo pala vice presidente dutae,sino mga kalaban niya vice pres?sotto sana tatakbo vice presidente kilala tlg publiko,like leni..if dutae mananalo eleksyon,kailan kaya balik dati pinas?at kailan makakasundo pres vice",Negative,Hate
short takot kayong susunod election kaya binubuhay ulit martial masyado naman kayong nabubuhay nakaraan,Negative,Hate
tawang tawa election kanina nagreply,Positive,Non-hate
pansin naglabasan paninira lalo ngayong election takot kasi silang,Negative,Hate
bakit naman kasi ibabase boto winnability eleksyon para pamamahala hindi otb bukod capability integrity lahat matinong ity nakay,Positive,Non-hate
damn ganda sro guest speakers really made sense abt upcoming election takeaways kahit saan ilagay p/vp mahina kasi tingin kanya tao tamad now look for performance,Positive,Non-hate
baka galit baka dating eleksyon,Negative,Hate
troll sipag nagawa nyang nung senador wala naman lng pala makatalo knya limang beses yung election case nya matanggap pagkatalo boy recto never again,Negative,Hate
napadama fake news joke fake drugs sunod pagpapalusot bilyung droga cj serreno election protest leila delima hamakin diyos sabay likod fake news mga kutsabaan sabay mga katiwalian nasindikato sambayanang,Negative,Hate
nmat ngayong eleksyon dami matunog pangalang tatakbo sino boboto niyo bakit behavioooooooor,Positive,Non-hate
"okay winner next election,pwedeng irewrites istorya",Negative,Hate
mizmam gurl sumugod bukas comelec please,Positive,Non-hate
yung bully galit kapwa bully lakas magpahiya tao judge jury executioner tapos pakanta-kanta tv ewan dami pre-election campaigns nasaksihan pero etong election yata pinaka-circus daming freaks,Negative,Hate
mahaba pasensya matagal nagtitiis subukan nyang kanselahin election makikita nya galit mga taong matagal nagtitimpi hwag syang aasa mga heneral tatakasan,Negative,Hate
naamoy leni/dick tandem dumarami nangangamoy kubeta eleksyon,Negative,Hate
maraming salamat chel huhuhuhu iboboto election kasama,Positive,Non-hate
nag conduct survey dito about election next year jusq mga alagad pala,Negative,Hate
"hihintayin nilang matapos halalan hindi siguro gaanong makapaglibot dahil takot magkacovid,kaya ibabalandra niya mukha niya eb kahit walang kwenta gagawin niya,pangisengise lang,exposure yun utot niya,di kailangan",Negative,Hate
mga politiko natin ilang taong tahimik sunud sunuran nung eleksyon kanya kanya eksena galit galitan pagbabago simula tagal nakaupo palang nag start yun nag ojt kayo,Negative,Hate
malaki sana maitutulong media lalo free tv para mamulat tao pero takot enabler mga artista playing safe hawak gobyerno good luck election,Negative,Hate
nakakahiya yung galit gobyerno pagdating eleksyon makukuha pesos,Negative,Hate
confirms meeting with ahead eleksyon filing candidacy,Neutral,Non-hate
declares his candidacy for presidential election tnan uae sdya,Positive,Non-hate
inaambisyon malaalala mga tao takipan committee hwak tungkol smuggling semento tapos laban nagagawa nmn parating election lol,Negative,Hate
opposition need opposition run for presidency run for presidency digong maglalaban naman eleksyon kung with lalaban sige maghati hati kayo boto oposisyon love that hahaha,Negative,Hate
actually kawawa susunod knya presidente dahil talagang pinabasak digz bansa mga alipores mga ahensya kaya need talaga matapang papalit kaya sentri for next election,Positive,Non-hate
kumbaga mga org events build kasi yung paginvite to/ni kila chel para pandefend kunno future content niya magpanggap fair platform for teh kami lapit election pwe,Negative,Hate
gigil gigil senado ky ayaw kc ilink ky prrd kontobersyang over pricing naging expired sarap sanang pagmumurahin but then again bawian natin election ishoot,Negative,Hate
tuwang tuwa paboost bale malapit election mga dds nman trolls bumoboto magiging katulad ulit nung election,Negative,Hate
wala naman akong nakikitang masama kung election tatakbo pagka-pangulo mahalaga yung magulang akin boto,Positive,Non-hate
nakikipag away mama iboboto nya susunod halalan ayaw pero biro natawa reaction mama inirapan tapos nya eh ayoko,Positive,Non-hate
para magkaalaman kung sino talaga nanalo noong nakaraang eleksyon wala walang malaking pondong susuporta madam run,Positive,Non-hate
tambalan inaantay buong bansa eleksyon president trillanes vp tunay opposisyon wala,Positive,Non-hate
tawang-tawa dito ikaw sobrang pambabastos ginawa vp pero katapusan lahat kaya vote wisely next election,Negative,Hate
kahit sino iluklok pagkapresidente magtatrabaho construction nakasama carpool kahit sino ilagay diyan corrupt kasabay carpool galit masa puspusin natin aom lalo papalapit eleksyon,Negative,Hate
national local plebiscite election smartputik military live streaming facebook youtube mahihirapan mandaya bantay sarado takot kasi damaso oligarchs elitista dilawan military,Negative,Hate
pro-duts daw ibang presidentiables without knowing that duts only that matter doon million nya hindi naman tumolong mga after election nalang dumikit taranta kasi hindi mama opposition,Negative,Hate
handa pagtakbo yorme para pagkapangulo eleksyon kaya para mabuting para,Positive,Non-hate
yung mga galit because newstv called dictator post about his grandson running for office yun totoo natalo noong nakaraang eleksyon yun katotohanan sandro ugly fuck totoo katotohanan niyo kayang tanggapin,Negative,Hate
no..to bilis-kilos---bilis ambisyon sayang dok iboboto naman sana kita para senado nakakadismaya diti,Negative,Hate
