text,Sentiment,Label,tweet_ids,Count,0,1,2
"Alam mong malapit na election pag si Mama Leni nyo nababanggit na sa mga modules. 

📸 ctto
#BBMFORPRESIDENT2022 #bbm2022 https://t.co/SWyDqpNsp1",Negative,Hate,['1440974741947371528'],,1385,6067,583
Grabe lang yung narinig ko this morning. Yung kapitbahay namin kinuha ng team Pacquiao to help for his campaign huhu election na labasan na ng pera at bayarang mga trolls at supporters. :(,Negative,Hate,['1438656514047184896'],,,,
"@DominiqueAbalos Eh pag nanalo pa din cya, anong gagawin mo? 🤣🤣🤣tapos nag martial law bigla no bago mag election? Ang ganda kasi naka display ang mukha mo dito 🤣🤣🤣",Positive,Non-hate,['1443530194023694337'],,,,
I never voted Leni. I voted for MDS during the last election. Wala akong tiwala sa kanyang leadership. Masyadong trapo,Negative,Hate,['1436641944306786312'],,,,
@News5PH Bakit ngaun ka lang dumaldal??? Almost 6 years na kung kelan malapit na election??? Pareho lang kau ni Lacson na DDS.,Negative,Hate,['1440509710902325251'],,,,
@adamsmanzanasII Focus nga pala tayo sa election naalala ko bigla,Neutral,Non-hate,['1442063718448132101'],,,,
@iampinglacson HOY Lacson kelan ba matatapos ang Sirkus ng mga ka-gangster mo sa senado. Paabutin nyo hangang bago mag eleksyon para umangat angat naman ratings mo KULELAT ka kasi eh AMBISYOSO #NoToPiSotTandem,Negative,Hate,['1437984328940601344'],,,,
mga possible candidate this coming election yta ang target nya to interview para makatulong din sa voters dba? hindi nman 💯 ng pinoy hater ni BBM 🤔 https://t.co/PB42FJmQSx,Neutral,Non-hate,['1437724686968758274'],,,,
"@gmanews no hindi po claro madam, malabo po panong babalik e hindi pa nmn nagiging president c bbm magiging president palang ok kung ayaw mo e di hwag mo pano nmn kaming me gusto kaya nga me eleksyon e para samin anybody but robredo",Negative,Hate,['1441601715023716352'],,,,
@TheEvilFreak29 Matagal na labas baho ni Duterte. Hindi tayo makikinabang sa pag ngangawngaw nila ngayon kundi sila din kasi sila ang nagpapabango ng sarili nila para sa 2022 election at syempre maisalba sarili nila sa mga kahayopan ng Admin na sinuportahan nila. Just saying! May VP Leni naman e,Negative,Hate,['1438885467861123077'],,,,
"Then Sen Pacquiao: ""Mas malala pa kayo sa hayop(LGBTQ+), buti pa ang hayop alam na ang lalake ay para sa babae""...""hindi ko binabawi ang salitang nasabi ko na."" 

Presidential Candidate Pacquiao: ""Who I am to judge a person.""

Iba talaga nagagawa ng election nagbabago pananaw. 😂 https://t.co/GBNoYWGnFc",Negative,Hate,['1439883616805265410'],,,,
@sotto_tito Iba talaga nagagawa ng eleksyon na ito. Nahihimasmasan bigla ang mga dating enablers na parang pinahid.,Negative,Hate,['1434846579177897984'],,,,
"@bongbongmarcos Mga ka DDS full support tayo kay sir BBM, para sa darating na election! Ito lang yong paraan na ipakita natin sa kanya na bumalik ang ating tiwala sa pamilya nila, sa ilang dekada natin na nawala dahil nalinlang tayo! GAWIN NATIN KONG ANO ANG TAMA! #LabanBBM2022 https://t.co/5FZyKmRTuK",Positive,Non-hate,['1439606768380702723'],,,,
Bigla ko lng naalala. Nyeta ayusin nyo pagboto sa election ha! Maawa kayo sa pinas. Hirap magmoveon sa lahat ng problema.,Negative,Hate,['1442717394560958465'],,,,
